transaction_amount,declared_income,claimed_expenses,industry_risk_score,prior_audit_flag,dependents_claimed,business_type,filing_history_years,income_expense_ratio,is_fraud
1903.9735882944444,93518.93913933873,59209.86994622772,6,0,0,0,21,2.99960451354636,1.0
4756.035816729085,86595.05635933856,17207.42366110079,1,1,1,0,13,1.1393547227551355,1.0
3673.3700119664554,59946.16512548621,29691.256466481234,6,1,1,0,19,2.6694979644435373,1.0
3013.359496775331,133235.33391725295,54072.609038052,4,0,2,1,5,2.025879045292733,0.0
822.2922701900608,111026.10728646691,40120.879528384954,4,0,1,0,19,1.0774705365302022,0.0
822.172875664203,177169.16869508062,59869.96997488682,5,0,1,1,5,1.2392928695562646,0.0
337.5138802325873,35458.6286819499,77013.00839416019,9,0,1,0,13,0.5509987030118397,1.0
4337.571921585929,139457.54768437147,11974.094954070208,1,0,4,1,15,1.35885291605159,1.0
3025.5193081288835,159701.3093469654,57636.71416265069,3,0,1,0,6,2.7485453526792702,1.0
3554.9592600904252,159112.7167620122,20736.499983672817,4,0,1,1,12,0.6880882581646102,1.0
151.8932467642221,180632.57440623926,34914.708010382834,2,0,2,1,16,2.8202101547790726,1.0
4851.053768201872,153935.736281014,5530.4298862257665,9,0,0,0,18,1.4490132878996822,1.0
4170.591071962088,187727.71048010836,13464.868436537818,7,1,2,2,15,2.352164573937416,1.0
1101.078597857467,86551.62196955155,27622.851256765276,1,0,1,1,16,2.146364235183686,0.0
950.033587675148,115545.60084776233,29332.90700717484,9,0,2,0,14,2.181202393722785,0.0
957.8523237744974,32393.542758091415,72268.06166758138,6,0,2,1,16,1.8708584587398356,1.0
1555.9991026497116,31182.789841559505,60119.594013521666,2,0,3,0,3,1.6607628806635917,1.0
2647.5443365795772,70821.52547675838,77858.08855040216,1,0,1,0,22,2.8206849020797105,1.0
2188.127842278473,47137.223513644494,49128.506295813524,6,0,2,0,2,2.200090945641353,1.0
1491.5842439803075,74235.9325490781,21611.957371031483,7,0,5,0,24,2.036524977697304,1.0
3078.6718288757784,60097.360069827555,28229.4373039665,10,0,3,1,10,1.54561063353402,0.0
740.494610227607,34848.4042225702,27627.366093481465,6,0,5,0,14,1.062698213081831,1.0
1496.11601024933,184581.7048890284,28140.063230070373,7,0,4,0,23,0.5045503942451114,1.0
1863.4911243037739,31397.93233611156,54818.24132960981,6,0,2,1,17,2.9517978941827443,1.0
2307.5464218743277,155133.96453730454,43872.21046296205,8,0,1,1,21,2.3909343567100683,0.0
3936.621008895417,55865.140776317814,32677.661712671612,2,0,3,0,21,2.9849774965529408,1.0
1038.3852216838807,185079.035739932,14479.912192111178,9,0,2,1,17,2.4254813556521304,0.0
2595.4604701473772,181775.3097302806,4704.715546545235,9,0,2,0,22,0.6138155682297761,1.0
